food_name,calories_kcal,carbs_g,protein_g,fat_g,fiber_g,glycemic_index,serving_size_g,unit
Phulka (Plain Roti),76,15.0,3.0,0.5,2.5,62,30,1 roti
Butter Roti,94,15.0,3.0,2.5,2.5,62,35,1 roti with butter
Tandoori Roti,113,22.0,4.0,1.0,3.5,65,45,1 tandoori roti
Butter Tandoori Roti,140,22.0,4.0,4.0,3.5,65,50,1 tandoori roti with butter
Plain Naan,182,35.0,6.0,2.0,2.0,71,70,1 naan
Butter Naan,227,35.0,6.0,7.0,2.0,71,80,1 butter naan
Garlic Naan,242,36.0,6.5,8.0,2.5,71,85,1 garlic naan
Lachha Paratha,221,30.0,5.0,9.0,3.0,68,75,1 paratha
Aloo Paratha,236,35.0,6.0,8.0,4.0,65,120,1 medium paratha
Gobi Paratha,220,32.0,6.0,7.5,4.5,63,120,1 medium paratha
Paneer Paratha,250,30.0,10.0,10.0,3.0,60,120,1 medium paratha
Mooli Paratha,207,31.0,5.0,7.0,4.5,62,120,1 medium paratha
Methi Thepla,122,18.0,3.5,4.0,3.0,58,40,1 thepla
Bhatura,268,35.0,5.0,12.0,1.5,75,80,1 bhatura
Puri,118,14.0,2.0,6.0,1.0,72,30,1 puri
Missi Roti,122,20.0,6.0,2.0,4.0,55,45,1 missi roti
Makki ki Roti,134,25.0,3.0,2.5,4.0,68,50,1 roti
Bajra Roti,126,23.0,4.0,2.0,4.5,54,50,1 roti
Jowar Roti,124,24.0,3.5,1.5,4.0,55,50,1 roti
Rumali Roti,154,30.0,5.0,1.5,2.0,70,50,1 rumali roti
Steamed White Rice,178,40.0,3.5,0.5,0.5,73,150,1 cup cooked
Steamed Brown Rice,167,35.0,4.0,1.2,3.0,68,150,1 cup cooked
Jeera Rice,202,38.0,3.5,4.0,1.0,70,150,1 cup cooked
Peas Pulao,233,42.0,5.0,5.0,3.5,65,200,1 plate
Veg Biryani,302,45.0,8.0,10.0,4.5,60,250,1 plate
Chicken Biryani,394,45.0,22.0,14.0,2.5,65,300,1 plate
Mutton Biryani,442,45.0,25.0,18.0,2.5,65,300,1 plate
Egg Biryani,348,44.0,16.0,12.0,2.5,65,300,1 plate
Paneer Biryani,359,42.0,14.0,15.0,3.0,62,300,1 plate
Lemon Rice,222,38.0,4.0,6.0,1.5,68,200,1 plate
Tamarind Rice,241,40.0,4.5,7.0,2.0,68,200,1 plate
Curd Rice,180,30.0,6.0,4.0,1.0,60,200,1 bowl
Tomato Rice,213,38.0,4.0,5.0,2.0,65,200,1 plate
Bisi Bele Bath,292,45.0,10.0,8.0,6.0,55,250,1 plate
